case_id,outcome_1a_o3mini,outcome_1b_o3mini,outcome_1c_o3mini
0001,affirm,affirm,reverse
0002,affirm,affirm,affirm
0029,affirm,affirm,reverse
0032,mixed,reverse,reverse
0033,affirm,reverse,reverse
0036,reverse,affirm,reverse
0091,affirm,affirm,affirm
0101,affirm,affirm,affirm
0103,,,
0104,affirm,reverse,affirm
0105,affirm,affirm,mixed
0110,reverse,reverse,reverse
0113,affirm,affirm,affirm
0114,reverse,mixed,reverse
0118,affirm,affirm,affirm
0120,affirm,affirm,affirm
0121,affirm,affirm,reverse
0124,affirm,affirm,affirm
0126,,,
0129,affirm,affirm,reverse
0131,,,
0132,affirm,affirm,reverse
0134,affirm,affirm,reverse
0140,,,
0141,affirm,affirm,affirm
0143,reverse,reverse,reverse
0146,reverse,reverse,reverse
0148,affirm,affirm,reverse
0151,affirm,affirm,affirm
0153,,,
0173,affirm,affirm,mixed
0174,,,
0175,affirm,affirm,mixed
0178,reverse,reverse,affirm
0183,affirm,affirm,reverse
0186,affirm,affirm,reverse
0190,affirm,affirm,affirm
0191,affirm,affirm,reverse
0193,reverse,reverse,reverse
0194,reverse,reverse,affirm
0197,,,
0199,affirm,affirm,affirm
0216,mixed,mixed,mixed
0223,,,
0224,reverse,affirm,reverse
0225,reverse,reverse,affirm
0227,,,
0229,reverse,reverse,reverse
0231,,,
0232,affirm,affirm,reverse
0244,affirm,affirm,reverse
0247,affirm,affirm,affirm
0249,,,
0259,affirm,affirm,affirm
0260,,,
0261,affirm,affirm,affirm
0264,reverse,reverse,affirm
0265,affirm,affirm,affirm
0267,affirm,affirm,affirm
0268,,,
0269,affirm,affirm,affirm
0270,mixed,reverse,reverse
0272,affirm,affirm,affirm
0274,reverse,reverse,affirm
0280,affirm,affirm,affirm
0284,affirm,affirm,affirm
0294,affirm,affirm,reverse
0295,affirm,affirm,affirm
0302,affirm,affirm,affirm
0312,affirm,mixed,affirm
0313,affirm,affirm,affirm
0316,,,
0321,affirm,affirm,affirm
0323,,,
0325,,,
0326,reverse,reverse,reverse
0336,,,
0337,,,
0339,affirm,affirm,affirm
0356,reverse,reverse,reverse
0384,affirm,affirm,affirm
0386,mixed,reverse,affirm
0388,reverse,reverse,reverse
0389,affirm,reverse,reverse
0390,mixed,mixed,mixed
0395,affirm,affirm,affirm
0398,affirm,affirm,affirm
0400,reverse,reverse,affirm
0402,affirm,affirm,affirm
0403,reverse,reverse,reverse
0404,reverse,reverse,affirm
0406,affirm,affirm,affirm
0407,affirm,reverse,reverse
0408,reverse,reverse,reverse
0410,reverse,affirm,affirm
0411,affirm,affirm,mixed
0412,reverse,mixed,reverse
0413,affirm,affirm,reverse
0416,,,
0417,affirm,affirm,affirm
0418,reverse,reverse,reverse
0423,affirm,affirm,affirm
0425,,,
0426,affirm,affirm,affirm
0427,reverse,reverse,reverse
0428,mixed,affirm,affirm
0429,affirm,reverse,reverse
0430,mixed,mixed,reverse
0432,reverse,affirm,reverse
0434,affirm,affirm,affirm
0435,affirm,affirm,affirm
0437,affirm,affirm,reverse
0438,,,
0448,mixed,mixed,affirm
0449,affirm,affirm,mixed
0451,mixed,mixed,affirm
0454,affirm,affirm,reverse
0455,,,
0456,affirm,affirm,affirm
0457,reverse,reverse,reverse
0458,reverse,reverse,reverse
0464,affirm,affirm,reverse
0465,affirm,affirm,affirm
0466,affirm,affirm,reverse
0470,affirm,affirm,affirm
0474,reverse,reverse,reverse
0475,affirm,affirm,affirm
0477,reverse,reverse,reverse
0479,affirm,affirm,mixed
0481,affirm,affirm,reverse
0483,mixed,mixed,mixed
0485,affirm,affirm,reverse
0488,reverse,mixed,reverse
0489,affirm,affirm,affirm
0492,affirm,affirm,mixed
0496,affirm,affirm,reverse
0500,,,
0502,reverse,reverse,reverse
0503,affirm,affirm,affirm
0504,reverse,reverse,reverse
0505,reverse,reverse,reverse
0506,affirm,affirm,affirm
0509,reverse,affirm,affirm
0510,reverse,mixed,reverse
0511,affirm,affirm,reverse
0512,reverse,reverse,reverse
0513,affirm,affirm,affirm
0514,affirm,affirm,affirm
0516,affirm,reverse,reverse
0517,affirm,affirm,affirm
0518,affirm,affirm,affirm
0519,reverse,reverse,affirm
0525,affirm,affirm,reverse
0526,reverse,mixed,reverse
0528,reverse,reverse,reverse
0529,affirm,affirm,affirm
0530,reverse,reverse,affirm
0536,affirm,affirm,affirm
0541,,,
0545,affirm,affirm,affirm
0546,,,
0547,affirm,affirm,affirm
0550,mixed,affirm,reverse
0556,affirm,affirm,reverse
0557,reverse,affirm,mixed
0558,reverse,reverse,mixed
0561,reverse,reverse,reverse
0562,reverse,reverse,reverse
0564,affirm,affirm,affirm
0565,affirm,affirm,reverse
0570,affirm,affirm,affirm
0571,mixed,mixed,mixed
0575,,,
0577,affirm,affirm,affirm
0578,,,
0588,,,
0590,affirm,affirm,affirm
0592,affirm,affirm,affirm
0595,,,
0601,reverse,reverse,reverse
0603,affirm,affirm,affirm
0607,mixed,mixed,reverse
0610,affirm,affirm,reverse
0613,affirm,affirm,affirm
0614,affirm,affirm,affirm
0618,affirm,affirm,affirm
0619,affirm,affirm,affirm
0623,reverse,affirm,reverse
0633,affirm,affirm,reverse
0634,affirm,affirm,affirm
0636,affirm,mixed,mixed
0640,affirm,affirm,affirm
0648,,,
0655,reverse,reverse,reverse
0656,affirm,affirm,mixed
0658,affirm,affirm,affirm
0661,affirm,affirm,reverse
0668,affirm,affirm,affirm
0670,affirm,affirm,affirm
0672,affirm,affirm,affirm
0676,affirm,affirm,reverse
0677,affirm,reverse,affirm
0678,affirm,affirm,reverse
0679,affirm,reverse,reverse
0680,affirm,affirm,affirm
0681,affirm,affirm,affirm
0683,affirm,mixed,affirm
0684,affirm,affirm,affirm
0686,affirm,affirm,affirm
0689,reverse,affirm,reverse
0691,reverse,affirm,reverse
0694,affirm,affirm,affirm
0700,,,
0702,affirm,affirm,affirm
0708,affirm,affirm,reverse
0715,affirm,affirm,affirm
0716,,,
0717,affirm,affirm,affirm
0718,affirm,affirm,affirm
0721,affirm,affirm,reverse
0723,affirm,affirm,affirm
0729,,,
0738,affirm,affirm,reverse
0740,affirm,affirm,affirm
0741,affirm,affirm,reverse
0757,,,
0761,affirm,affirm,affirm
0764,affirm,affirm,affirm
0765,reverse,reverse,reverse
0769,affirm,affirm,affirm
0777,affirm,affirm,affirm
0782,mixed,affirm,mixed
0797,,,
0805,affirm,affirm,affirm
0806,affirm,affirm,affirm
0810,affirm,affirm,reverse
0815,affirm,affirm,reverse
0816,affirm,affirm,affirm
0818,affirm,reverse,affirm
0819,affirm,affirm,affirm
0823,,,
0825,affirm,affirm,reverse
0839,,,
0840,affirm,affirm,affirm
0841,,,
0850,,,
0857,reverse,reverse,affirm
0858,,,
0860,affirm,affirm,affirm
0864,reverse,reverse,reverse
0870,mixed,affirm,affirm
0871,affirm,affirm,affirm
0872,,,
0873,affirm,affirm,affirm
0874,affirm,affirm,mixed
0875,,,
0876,,,
