case_id,duty_of_care,breach_of_duty,contributory_negligence
0001,1.0,1.0,0.0
0002,0.0,0.0,0.0
0029,1.0,1.0,0.0
0091,1.0,1.0,0.0
0101,1.0,1.0,1.0
0103,1.0,1.0,0.0
0104,1.0,0.0,1.0
0105,1.0,1.0,0.0
0110,1.0,1.0,0.0
0113,1.0,1.0,0.0
0114,1.0,1.0,1.0
0118,0.0,0.0,0.0
0120,1.0,1.0,0.0
0121,1.0,1.0,1.0
0124,1.0,1.0,1.0
0126,0.0,0.0,0.0
0129,1.0,1.0,0.0
0131,1.0,1.0,0.0
0132,1.0,1.0,0.0
0134,0.0,0.0,0.0
0140,1.0,1.0,0.0
0141,0.0,0.0,1.0
0143,1.0,1.0,1.0
0146,1.0,1.0,1.0
0148,1.0,1.0,0.0
0151,1.0,1.0,0.0
0153,1.0,1.0,0.0
0173,1.0,1.0,1.0
0174,1.0,1.0,0.0
0175,1.0,1.0,1.0
0178,0.0,0.0,0.0
0183,0.0,1.0,1.0
0186,1.0,1.0,0.0
0190,1.0,0.0,1.0
0191,1.0,1.0,0.0
0193,1.0,1.0,0.0
0194,0.0,0.0,0.0
0197,1.0,0.0,0.0
0199,0.0,0.0,1.0
0216,1.0,1.0,0.0
0223,1.0,1.0,0.0
0224,1.0,1.0,0.0
0225,0.0,0.0,0.0
0227,1.0,0.0,0.0
0229,1.0,1.0,1.0
0231,0.0,0.0,1.0
0232,1.0,1.0,1.0
0244,0.0,0.0,0.0
0247,0.0,0.0,1.0
0249,1.0,1.0,0.0
0259,0.0,0.0,0.0
0260,1.0,1.0,1.0
0261,1.0,0.0,0.0
0264,0.0,0.0,0.0
0265,0.0,0.0,1.0
0267,1.0,0.0,0.0
0268,1.0,1.0,0.0
0269,1.0,1.0,0.0
0270,0.0,1.0,1.0
0272,1.0,0.0,0.0
0274,1.0,0.0,1.0
0280,1.0,1.0,0.0
0284,1.0,0.0,1.0
0294,1.0,1.0,1.0
0295,0.0,0.0,0.0
0302,0.0,0.0,0.0
0312,1.0,1.0,0.0
0313,1.0,0.0,0.0
0316,1.0,1.0,0.0
0321,1.0,1.0,0.0
0323,0.0,0.0,0.0
0325,0.0,0.0,0.0
0326,1.0,1.0,1.0
0336,0.0,0.0,0.0
0337,0.0,0.0,0.0
0339,0.0,0.0,0.0
0356,0.0,0.0,0.0
0384,1.0,1.0,0.0
0386,1.0,1.0,0.0
0388,1.0,1.0,1.0
0389,1.0,1.0,0.0
0390,1.0,1.0,0.0
0395,1.0,0.0,1.0
0398,1.0,1.0,0.0
0400,0.0,0.0,0.0
0402,1.0,1.0,0.0
0403,1.0,1.0,0.0
0404,0.0,0.0,0.0
0406,0.0,0.0,0.0
0407,1.0,1.0,0.0
0408,1.0,1.0,0.0
0410,1.0,1.0,0.0
0411,1.0,1.0,0.0
0412,1.0,1.0,0.0
0413,1.0,1.0,0.0
0416,1.0,1.0,0.0
0417,1.0,1.0,0.0
0418,1.0,1.0,0.0
0423,1.0,0.0,1.0
0425,1.0,0.0,0.0
0426,0.0,1.0,0.0
0427,1.0,1.0,1.0
0428,1.0,1.0,0.0
0429,1.0,1.0,1.0
0430,1.0,1.0,0.0
0432,1.0,1.0,0.0
0434,0.0,0.0,0.0
0435,1.0,1.0,1.0
0437,1.0,1.0,0.0
0438,1.0,1.0,0.0
0448,1.0,1.0,0.0
0449,1.0,1.0,0.0
0451,1.0,1.0,0.0
0454,1.0,0.0,0.0
0455,1.0,1.0,0.0
0456,1.0,1.0,0.0
0457,1.0,1.0,0.0
0458,1.0,1.0,0.0
0464,1.0,1.0,0.0
0465,1.0,1.0,0.0
0466,1.0,1.0,1.0
0470,1.0,0.0,1.0
0474,1.0,1.0,0.0
0475,0.0,0.0,0.0
0477,1.0,1.0,1.0
0479,1.0,1.0,1.0
0481,1.0,1.0,0.0
0483,1.0,1.0,0.0
0485,1.0,1.0,1.0
0488,1.0,1.0,0.0
0489,1.0,1.0,0.0
0492,1.0,1.0,1.0
0496,1.0,1.0,0.0
0500,1.0,1.0,0.0
0502,1.0,1.0,1.0
0503,0.0,0.0,1.0
0504,1.0,1.0,0.0
0505,1.0,1.0,1.0
0506,1.0,1.0,1.0
0509,0.0,0.0,0.0
0510,1.0,1.0,0.0
0511,1.0,1.0,1.0
0512,1.0,1.0,1.0
0513,1.0,0.0,0.0
0514,1.0,1.0,0.0
0516,1.0,1.0,1.0
0517,0.0,0.0,0.0
0518,0.0,0.0,0.0
0519,1.0,1.0,1.0
0525,1.0,1.0,0.0
0526,1.0,1.0,0.0
0528,1.0,1.0,0.0
0529,1.0,0.0,0.0
0530,0.0,0.0,0.0
0536,1.0,0.0,1.0
0541,0.0,1.0,0.0
0545,1.0,1.0,0.0
0546,1.0,1.0,0.0
0547,1.0,1.0,0.0
0550,1.0,1.0,0.0
0556,1.0,1.0,1.0
0557,1.0,1.0,0.0
0558,1.0,1.0,1.0
0561,1.0,1.0,0.0
0562,1.0,1.0,1.0
0564,1.0,1.0,0.0
0565,1.0,1.0,0.0
0570,1.0,0.0,0.0
0571,1.0,1.0,0.0
0575,1.0,1.0,0.0
0577,0.0,0.0,0.0
0578,1.0,1.0,0.0
0588,1.0,1.0,0.0
0590,0.0,0.0,0.0
0592,0.0,0.0,0.0
0595,0.0,0.0,0.0
0601,1.0,1.0,0.0
0603,0.0,0.0,0.0
0607,1.0,1.0,0.0
0610,1.0,1.0,0.0
0613,1.0,0.0,0.0
0614,0.0,0.0,0.0
0618,1.0,0.0,0.0
0619,0.0,0.0,0.0
0623,1.0,1.0,0.0
0633,1.0,0.0,0.0
0634,0.0,0.0,0.0
0636,1.0,1.0,0.0
0640,1.0,1.0,0.0
0648,1.0,0.0,0.0
0655,1.0,1.0,0.0
0656,1.0,1.0,1.0
0658,1.0,1.0,0.0
0661,1.0,1.0,0.0
0668,0.0,0.0,0.0
0670,0.0,0.0,0.0
0672,0.0,0.0,0.0
0676,0.0,0.0,0.0
0677,0.0,0.0,0.0
0678,0.0,0.0,1.0
0679,1.0,1.0,1.0
0680,0.0,0.0,0.0
0681,1.0,0.0,0.0
0683,0.0,0.0,1.0
0684,1.0,1.0,1.0
0686,1.0,1.0,1.0
0689,1.0,1.0,0.0
0691,0.0,1.0,0.0
0694,1.0,1.0,0.0
0700,1.0,0.0,0.0
0702,1.0,1.0,0.0
0708,1.0,1.0,0.0
0715,0.0,0.0,0.0
0716,0.0,0.0,1.0
0717,1.0,0.0,0.0
0718,0.0,0.0,0.0
0721,1.0,0.0,0.0
0723,1.0,0.0,0.0
0729,1.0,0.0,0.0
0738,1.0,1.0,0.0
0740,1.0,1.0,0.0
0741,0.0,0.0,1.0
0757,1.0,1.0,0.0
0761,1.0,0.0,0.0
0764,1.0,0.0,0.0
0765,0.0,1.0,0.0
0769,0.0,0.0,1.0
0777,1.0,0.0,0.0
0782,1.0,1.0,0.0
0797,1.0,0.0,0.0
0805,0.0,0.0,1.0
0806,1.0,1.0,0.0
0810,1.0,1.0,1.0
0815,1.0,1.0,0.0
0816,1.0,0.0,0.0
0818,1.0,0.0,0.0
0819,1.0,1.0,0.0
0823,1.0,1.0,0.0
0825,1.0,1.0,0.0
0839,1.0,1.0,1.0
0840,0.0,0.0,1.0
0841,0.0,1.0,0.0
0850,1.0,0.0,0.0
0857,1.0,0.0,0.0
0858,1.0,1.0,0.0
0860,0.0,0.0,0.0
0864,0.0,0.0,0.0
0870,1.0,1.0,0.0
0871,1.0,1.0,1.0
0872,1.0,1.0,0.0
0873,1.0,1.0,0.0
0874,1.0,1.0,1.0
0875,1.0,1.0,0.0
0876,0.0,0.0,1.0
0878,0.0,0.0,0.0
0879,1.0,1.0,0.0
0881,1.0,1.0,1.0
0884,0.0,0.0,0.0
0885,1.0,0.0,0.0
0886,1.0,1.0,0.0
